06-1:交公路06-1表
   ****>L06-1:ERROR0011:相同路线编号的路段存在重复填报情况
      ^1:省份代码:34  路线编号:G236  起点桩号:139.989  终点桩号:141.269  断链类型:0  路段重复填报次数:2

   ****>L06-1:ERROR0012:相同路线编号的路段存在重叠填报情况
      ^1:省份代码:34  路线编号:G206  起点桩号:1306.003  终点桩号:1307.612  重叠路线编号:G206  重叠起点桩号:1306.923  重叠终点桩号:1307.611
      ^2:省份代码:34  路线编号:G206  起点桩号:1306.003  终点桩号:1307.612  重叠路线编号:G206  重叠起点桩号:1307.611  重叠终点桩号:1310.355
      ^3:省份代码:34  路线编号:G206  起点桩号:1307.611  终点桩号:1310.355  重叠路线编号:G206  重叠起点桩号:1307.612  重叠终点桩号:1308.035
      ^4:省份代码:34  路线编号:G206  起点桩号:1307.611  终点桩号:1310.355  重叠路线编号:G206  重叠起点桩号:1306.003  重叠终点桩号:1307.612
      ^5:省份代码:34  路线编号:G236  起点桩号:139.989  终点桩号:141.269  重叠路线编号:G236  重叠起点桩号:139.989  重叠终点桩号:141.269
      ^6:省份代码:34  路线编号:G236  起点桩号:139.989  终点桩号:141.269  重叠路线编号:G236  重叠起点桩号:139.989  重叠终点桩号:141.269
      ^7:省份代码:34  路线编号:G237  起点桩号:432.55  终点桩号:434.295  重叠路线编号:G237  重叠起点桩号:432.55  重叠终点桩号:433.755
      ^8:省份代码:34  路线编号:G237  起点桩号:432.55  终点桩号:434.295  重叠路线编号:G237  重叠起点桩号:433.755  重叠终点桩号:434.913
      ^9:省份代码:34  路线编号:G237  起点桩号:432.55  终点桩号:433.755  重叠路线编号:G237  重叠起点桩号:432.55  重叠终点桩号:434.295
      ^10:省份代码:34  路线编号:G237  起点桩号:433.755  终点桩号:434.913  重叠路线编号:G237  重叠起点桩号:432.55  重叠终点桩号:434.295
      ^11:省份代码:34  路线编号:G237  起点桩号:433.755  终点桩号:434.913  重叠路线编号:G237  重叠起点桩号:434.295  重叠终点桩号:435.532
      ^12:省份代码:34  路线编号:G237  起点桩号:434.295  终点桩号:435.532  重叠路线编号:G237  重叠起点桩号:433.755  重叠终点桩号:434.913
      ^13:省份代码:34  路线编号:G237  起点桩号:609.828  终点桩号:614.605  重叠路线编号:G237  重叠起点桩号:609.828  重叠终点桩号:615.504
      ^14:省份代码:34  路线编号:G237  起点桩号:609.828  终点桩号:615.504  重叠路线编号:G237  重叠起点桩号:609.828  重叠终点桩号:614.605
      ^15:省份代码:34  路线编号:G237  起点桩号:609.828  终点桩号:615.504  重叠路线编号:G237  重叠起点桩号:614.605  重叠终点桩号:616.808
      ^16:省份代码:34  路线编号:G237  起点桩号:614.605  终点桩号:616.808  重叠路线编号:G237  重叠起点桩号:609.828  重叠终点桩号:615.504
      ^17:省份代码:34  路线编号:G237  起点桩号:669.644  终点桩号:670.563  重叠路线编号:G237  重叠起点桩号:669.644  重叠终点桩号:670.271
      ^18:省份代码:34  路线编号:G237  起点桩号:669.644  终点桩号:670.271  重叠路线编号:G237  重叠起点桩号:669.644  重叠终点桩号:670.563
      ^19:省份代码:34  路线编号:G237  起点桩号:669.644  终点桩号:670.563  重叠路线编号:G237  重叠起点桩号:670.271  重叠终点桩号:670.311
      ^20:省份代码:34  路线编号:G237  起点桩号:669.644  终点桩号:670.563  重叠路线编号:G237  重叠起点桩号:670.311  重叠终点桩号:670.759
      ^21:省份代码:34  路线编号:G237  起点桩号:670.311  终点桩号:670.759  重叠路线编号:G237  重叠起点桩号:669.644  重叠终点桩号:670.563
      ^22:省份代码:34  路线编号:G237  起点桩号:670.311  终点桩号:670.759  重叠路线编号:G237  重叠起点桩号:670.563  重叠终点桩号:671.541
      ^23:省份代码:34  路线编号:G237  起点桩号:670.563  终点桩号:671.541  重叠路线编号:G237  重叠起点桩号:670.311  重叠终点桩号:670.759
      ^24:省份代码:34  路线编号:G312  起点桩号:444.737  终点桩号:446.49  重叠路线编号:G312  重叠起点桩号:444.737  重叠终点桩号:445.626
      ^25:省份代码:34  路线编号:G312  起点桩号:444.737  终点桩号:445.626  重叠路线编号:G312  重叠起点桩号:444.737  重叠终点桩号:446.49
      ^26:省份代码:34  路线编号:G312  起点桩号:444.737  终点桩号:446.49  重叠路线编号:G312  重叠起点桩号:445.626  重叠终点桩号:446.461
      ^27:省份代码:34  路线编号:G312  起点桩号:444.737  终点桩号:446.49  重叠路线编号:G312  重叠起点桩号:446.461  重叠终点桩号:447.025
